dataset,test_rmse,best_cv_rmse,model_file,best_params
sec_1_bull,0.05444926327520135,0.06581710836302178,models/model_sec_1_bull.json,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.23235611606244558, 'subsample': 0.6117165845113794, 'colsample_bytree': 0.9096087259701922, 'gamma': 3.411120532307631, 'reg_alpha': 0.00018324011146607057, 'reg_lambda': 0.00020541666452580045}"
sec_2_bull,0.12333544259392656,0.07752550711482534,models/model_sec_2_bull.json,"{'n_estimators': 1400, 'max_depth': 8, 'learning_rate': 0.015873710653276054, 'subsample': 0.8486278505753395, 'colsample_bytree': 0.9583980267139252, 'gamma': 0.0012436450530719568, 'reg_alpha': 0.00015808837158237606, 'reg_lambda': 0.0049241191836686985}"
sec_3_bull,0.09199979742886046,0.12196389507884986,models/model_sec_3_bull.json,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.024185744828159866, 'subsample': 0.72447090692331, 'colsample_bytree': 0.9325621218287438, 'gamma': 0.5444368188768295, 'reg_alpha': 0.002936325106641607, 'reg_lambda': 0.00015626107272581014}"
sec_4_bull,0.19144445778532015,0.10508581779797932,models/model_sec_4_bull.json,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.04824791560625454, 'subsample': 0.7870372662033047, 'colsample_bytree': 0.788675881204285, 'gamma': 0.03848516318259216, 'reg_alpha': 0.011511952216109018, 'reg_lambda': 0.013041581382961532}"
sec_5_bull,0.10139261722050574,0.09165007837441852,models/model_sec_5_bull.json,"{'n_estimators': 1100, 'max_depth': 6, 'learning_rate': 0.021598489586166145, 'subsample': 0.7864257782317878, 'colsample_bytree': 0.6482012697886812, 'gamma': 0.00873848808175981, 'reg_alpha': 0.506452688708476, 'reg_lambda': 4.6379101115007986e-05}"
sec_6_bull,0.1618471966009323,0.12839287508623887,models/model_sec_6_bull.json,"{'n_estimators': 600, 'max_depth': 8, 'learning_rate': 0.03222460579608564, 'subsample': 0.969158338972973, 'colsample_bytree': 0.7283110242351524, 'gamma': 0.2518052412266534, 'reg_alpha': 0.3812695292697461, 'reg_lambda': 0.005758561898255569}"
sec_7_bull,0.13244083347059527,0.09123917857671204,models/model_sec_7_bull.json,"{'n_estimators': 1200, 'max_depth': 8, 'learning_rate': 0.08091408194703557, 'subsample': 0.7710698406256344, 'colsample_bytree': 0.6398412655345631, 'gamma': 0.47730643204785855, 'reg_alpha': 0.0002182673638100688, 'reg_lambda': 0.0013496178979779225}"
sec_8_bull,0.12194739325084163,0.08228651349456798,models/model_sec_8_bull.json,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.010153823774742218, 'subsample': 0.992492960856325, 'colsample_bytree': 0.7114334563372681, 'gamma': 0.03396563976736218, 'reg_alpha': 1.4476046767108407e-05, 'reg_lambda': 1.1149310614904784e-05}"
sec_1_bear,0.09166624485858325,0.11255335921080822,models/model_sec_1_bear.json,"{'n_estimators': 1200, 'max_depth': 10, 'learning_rate': 0.020076745067818848, 'subsample': 0.6957422834790994, 'colsample_bytree': 0.8254448483831837, 'gamma': 0.038005904378710015, 'reg_alpha': 0.05712357926952601, 'reg_lambda': 0.1730592760581825}"
sec_2_bear,0.14826064348815696,0.2298030400896741,models/model_sec_2_bear.json,"{'n_estimators': 700, 'max_depth': 3, 'learning_rate': 0.046028689262307125, 'subsample': 0.8919629728135123, 'colsample_bytree': 0.6090447337174641, 'gamma': 0.14583234011605875, 'reg_alpha': 0.0028464127740134232, 'reg_lambda': 0.0008276291940714914}"
sec_3_bear,0.33576859480257404,0.2619009273415462,models/model_sec_3_bear.json,"{'n_estimators': 900, 'max_depth': 4, 'learning_rate': 0.07944854797714648, 'subsample': 0.8640603747884061, 'colsample_bytree': 0.8661104063726119, 'gamma': 0.020280029360925756, 'reg_alpha': 0.011124954895757344, 'reg_lambda': 2.0086615642116378e-05}"
sec_4_bear,0.2748004842572964,0.1562749951538089,models/model_sec_4_bear.json,"{'n_estimators': 1200, 'max_depth': 6, 'learning_rate': 0.29639652343536915, 'subsample': 0.7059940976256514, 'colsample_bytree': 0.6608582577655339, 'gamma': 0.4238851549218197, 'reg_alpha': 0.0007477261392830083, 'reg_lambda': 0.048154276976045525}"
sec_5_bear,0.11001969367372162,0.18110036591155593,models/model_sec_5_bear.json,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.20910388586687528, 'subsample': 0.7348110986262336, 'colsample_bytree': 0.9999776800928911, 'gamma': 0.7549898092316452, 'reg_alpha': 0.0014682182276247262, 'reg_lambda': 0.00010093610672045627}"
sec_6_bear,0.18081864667954958,0.21760019096011596,models/model_sec_6_bear.json,"{'n_estimators': 800, 'max_depth': 7, 'learning_rate': 0.2732513436496859, 'subsample': 0.6025036432416061, 'colsample_bytree': 0.9189691933313875, 'gamma': 1.1601425605674154, 'reg_alpha': 1.1858384136844415e-05, 'reg_lambda': 0.3428017253201685}"
sec_7_bear,0.19989994211691414,0.14834234262377122,models/model_sec_7_bear.json,"{'n_estimators': 700, 'max_depth': 7, 'learning_rate': 0.2997794974705127, 'subsample': 0.6838120857135899, 'colsample_bytree': 0.6701082261082296, 'gamma': 2.8651901898016874, 'reg_alpha': 0.0012390837670519426, 'reg_lambda': 0.04914956072803977}"
sec_8_bear,0.19500440794045876,0.1399340720599792,models/model_sec_8_bear.json,"{'n_estimators': 600, 'max_depth': 6, 'learning_rate': 0.0795929218588529, 'subsample': 0.6042161146235531, 'colsample_bytree': 0.8906500820728311, 'gamma': 0.4189190968610855, 'reg_alpha': 0.0005679188866848439, 'reg_lambda': 4.6157538825804455e-05}"
